iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
1,Brevo,Create a company with valid owner ID,POST,https://api.sendinblue.com/v3/companies,OK,200,917,34,"This confirms that company ID is returned in the response, Status code is 200",,,2,2,0,0
1,Brevo,Create a company with invalid owner Id,POST,https://api.sendinblue.com/v3/companies,Bad Request,400,292,95,"This confirms that message is returned in the response, Status code is 400",,,2,2,0,0
1,Brevo,Get all Companies,GET,https://api.sendinblue.com/v3/companies,OK,200,636,6572,"Response has folders array returned, This confirms that file ID is returned in the response, Status code is 200, Response has attributes, Response has created_at, This confirms that domain is returned in the response, This confirms that industry is returned in the response, This confirms that last_updated_at is returned in the response, This confirms that name is returned in the response, This confirms that number_of_contacts is returned in the response, This confirms that owner is returned in the response, This confirms that owner_assign_date is returned in the response, Response has linkedContactsIds, Response has createdBy, Response has linkedDealsIds",,,15,15,0,0
1,Brevo,Get company attributes,GET,https://api.sendinblue.com/v3/companies/attributes,OK,200,406,1719,"Status code is 200, Response is returned in an array, Response has internal Name, Response has attributeTypeName, Response has required, Response has label, Response has attributeOptions",,,7,7,0,0
1,Brevo,Link company with contact and deal,PATCH,https://api.sendinblue.com/v3/companies/link-unlink/663e2320c10f27647d4a4945,No Content,204,541,0,"Status code is 204, Response body is empty",,,2,2,0,0
1,Brevo,Unlink company with contact and deal Copy,PATCH,https://api.sendinblue.com/v3/companies/link-unlink/663e2320c10f27647d4a4945,No Content,204,588,0,"Status code is 204, Response body is empty",,,2,2,0,0
1,Brevo,Get a company,GET,https://api.sendinblue.com/v3/companies/663e2320c10f27647d4a4945,OK,200,610,433,"Status code is 200, Response has the required properties and structure",,,2,2,0,0
1,Brevo,Update a company,PATCH,https://api.sendinblue.com/v3/companies/663e2320c10f27647d4a4945,No Content,204,317,0,"Status code is 204, Response body is empty",,,2,2,0,0
1,Brevo,Delete a company,DELETE,https://api.sendinblue.com/v3/companies/663e2320c10f27647d4a4945,No Content,204,628,0,"Status code is 204, Response body is empty",,,2,2,0,0
1,Brevo,Get pipeline stages,GET,https://api.sendinblue.com/v3/crm/pipeline/details,OK,200,346,542,"Status code is 200, This confirms that pipeline ID is returned in the response, This confirms that pipeline name is returned in the response, Response has stages array returned",,,4,4,0,0
1,Brevo,Create a deal,POST,https://api.sendinblue.com/v3/crm/deals,OK,200,441,34,"This confirms that deal ID is returned in the response, Status code is 200",,,2,2,0,0
1,Brevo,Get all deals,GET,https://api.sendinblue.com/v3/crm/deals,OK,200,337,3475,"Status code is 200, Response has items array returned, Array to have each item",,,3,3,0,0
1,Brevo,Link and Unlink a deal with contacts and companies,PATCH,https://api.sendinblue.com/v3/crm/deals/link-unlink/663e23255d6648267d9712ff,No Content,204,608,0,"Status code is 204, Response body is empty",,,2,2,0,0
1,Brevo,Get deal attributes,GET,https://api.sendinblue.com/v3/crm/attributes/deals,OK,200,591,4629,"Status code is 200, Response has array returned, Array to have internal Name, Array to have label, Array to have attribute type name, Array to have attribute options, Array to have isRequired",,,7,7,0,0
1,Brevo,Get a deal,GET,https://api.sendinblue.com/v3/crm/deals/663e23255d6648267d9712ff,OK,200,312,448,"Status code is 200, Response has id returned, Response has attributes returned, Response has linked contact IDs returned, Response has linked company IDs returned, Response has Created By returned",,,6,6,0,0
1,Brevo,Update a deal,PATCH,https://api.sendinblue.com/v3/crm/deals/663e23255d6648267d9712ff,No Content,204,375,0,"Status code is 204, Response body is empty",,,2,2,0,0
